http_user_agent
agentaxios/*
axios/*
AZURECLI/*
BAV2ROPC
Lomond/*
Argus-Scanner/1.0
ArgusCrawler/1.0
ArgusDataLeakChecker/1.0
Mozilla/5.0 (compatible; ArgusBot/1.0*
ShadowSpray.Kerb/1.0
OWASP Amass
RaccoonO365*
*Intel Raccoon O365 2FA*
Linux Gnu (cow)
CanisRufus
MEGAcmd/*
MEGA/MEGAcmdUpdaterTask
PingCastleAutoUpdater*
NIKMOK
autocert
Fleet auto-approve
Fleet average open time
Fleet labels
fleet story points
fleet-schema-builder
Fleet-Standard-Query-Library
Fleetie pie
nanodep-godep/0
kmdjdheyytgebfghehhenegsdfsdf
User-Agent:Mozilla/*
Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 10.0; WOW64; Trident/7.0; Specula; Microsoft Outlook*
PologiyKolokol
Windows Explorer
VisaoAPP
*QQDownload*
dvadcat
Messiah/2.0
hacked-by-matrix
r00ts3c-owned-you
luna-owns-you
Mozilla/5.0 (compatible; ngrok)
nimplant
NimPlant C2 Client
linux:feeds:v2 (by /u/pico-sh)
pivotnacci/*
remoteit/*
C2FunctionAgent
SmartLoader
Cat
*/.insufficient/.*
*/.josephine/.*
*/.justice/.*
*/.snventor/.*
"Mozilla/5.0 (compatible, MSIE 11, Windows NT 6.3; Trident/7.0; rv:11.0) like TsunamiWave"
tunnelto-client
Yakit/1.0.0
python-requests/*
WinHTTP*
Microsoft BITS/*
curl/*
*HeadlessChrome*
*HeadlessEdg*
Windows_Installer
PcapXray
* PowerShell/*
*WindowsPowerShell/*
PycURL/*
*CPython/*
GNU Wget*
wget(*
wget
wget/*
Microsoft-WebDAV-MiniRedir/*
Wireshark/*
* Wyzo/*
BitTorrent/*
qBittorrent/*
libtorrent/*
uTorrent/*
* (Linux;  *
* (X11; *
* (X11; *Firefox*
*; Linux x86_64*
AADInternals
*Arch Linux*
*ArchLinux*
Docker-Desktop/*
GitHubCopilotChat/*
*(Hackintosh*
Valve/Steam HTTP Client 
* Toolbar *
VirtualBox *
*SearchToolbar*
Cr3dOv3r-Framework
DirBuster-*
*UCCAPI/16.0.13328.20130 OC/16.0.13426.20234*
Rubeus/1.0
*Mozilla/4.0 (Hydra)*
*Your Moms Smart Vibrator*
ccminer*
FUCKUSA
Lemon-Duck-*
XMRig *
aws-cli/*
TeslaBrowser/5.5
rclone/*
*AAAAAAAAAA*
*=
Q2hyb21l*
QXBwbGVXZWJLaX*
RGFsdmlr*
TW96aWxsY*
*EICAR-STANDARD-ANTIVIRUS-TEST-FILE*
*; googleweblight)*
pproxy-*
*X11; TAILS;*
*yahoomailproxy*
dirhunt
* masscan/*
*ivre-masscan*
python-requests/
SharpBuster
*/bin/bash*
Python/*
aiohttp/*
*/etc/passwd*
*127.0.0.1*
*; echo $*
*C:\Users\*
*HKCU\Software\Microsoft\Windows\*
*SELECT*FROM*WHERE*
*SELECT*FROM*Win32_*
*Schtasks /create*
*\Microsoft Windows *\Windows Defender\*
*cmd.exe*
*powershell.exe*
*wget http*
Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
Mozilla/5.0 (Windows NT 6.3; rv:36.0) Gecko/20100101 Firefox/36.0
Mozilla/6.0 (X11; Linux x86_64; rv:24.0) Gecko/20140205 Firefox/27.0 Iceweasel/25.3.0
Report Runner
*Kali linux*
*kali1-686*
*kali1-amd64*
abcd
*${jndi:ldap://*
*nmap icap-client/*
Microsoft WinRM Client
xmlset_roodkcableoj28840ybtide
OWASP *
ModSecurity CRS 3 test*
*-parrot-686*
*-parrot-amd64*
Dsreg/10.0 (Windows 10.0.19044.1826)
ruler
zerodium*
Microsoft-CryptoAPI/*
*NDES client *
WinHttpRequest
ace4956e-736e-11e6-9584-d7165ca591df
ClickAdsByIE
Intrenet Explorer
fucking
JustKidding
Avast
ESET NOD32
AVG
ESET SECURITY
Windows Defender
McAffee
Google Chrome
BunnyLoader
BunnyLoader_Dropper
BunnyRequester
BunnyShell
BunnyStealer
BunnyTasks
HeartBeat_Sender
mfo4engo2m
WinHTTP Example/1.0
*da58bdb765904300581fe8a818c28cca7c0b62eabd7ce29f181924177c8f13c7*
AE632AE3-FACB-4C1B-8906-FB65A13B01B4
OnionWClient / 1.0
OnionWClient
lkmns32Sf3lkn
GameInfo
Loki/1.0
uploader
HTTPREAD
Chnome
c010101
Mozilla FireFox
b5c3d0b28619de70bf5588505f4061f2
ZLoad-Software
Zload
condi-bbos
WSHRAT*
* MASP)*
